questionCode,domainName,difficultyLevel,questionNumber,questionText,option1,option2,option3,option4,correctOption
JE-1,JAVA,EXPERT,1,What is the purpose of the 'volatile' keyword in Java?,To indicate that a variable's value will be accessed by multiple threads,To make a variable thread-safe,To prevent a variable from being accessed by multiple threads,To force garbage collection on a variable,To indicate that a variable's value will be accessed by multiple threads
JE-1,JAVA,EXPERT,2,What are the differences between ArrayList and LinkedList in Java?,ArrayList uses a dynamic array while LinkedList uses a doubly-linked list,ArrayList is faster for accessing elements by index while LinkedList is faster for adding and removing elements,ArrayList is faster for adding and removing elements while LinkedList is faster for accessing elements by index,There are no differences between ArrayList and LinkedList,ArrayList is faster for accessing elements by index while LinkedList is faster for adding and removing elements
JE-1,JAVA,EXPERT,3,What is the purpose of the 'transient' keyword in Java?,To indicate that a variable should not be serialized,To indicate that a variable should be initialized to its default value,To indicate that a variable should be visible to all threads,To indicate that a variable should be shared among all instances of a class,To indicate that a variable should not be serialized
JE-1,JAVA,EXPERT,4,What are checked and unchecked exceptions in Java?,Checked exceptions are subclasses of RuntimeException while unchecked exceptions are not,Checked exceptions are not subclasses of RuntimeException while unchecked exceptions are,Checked exceptions are errors that occur at runtime while unchecked exceptions are caught by the compiler,There are no differences between checked and unchecked exceptions,Checked exceptions are not subclasses of RuntimeException while unchecked exceptions are not
JE-1,JAVA,EXPERT,5,What is the purpose of the 'super' keyword in Java?,To refer to the current instance of the class,To refer to the superclass of the current class,To refer to the subclass of the current class,To refer to the parent class of the current class,To refer to the superclass of the current class
JE-1,JAVA,EXPERT,6,What is the difference between 'throw' and 'throws' in Java?,'throw' is used to declare an exception while 'throws' is used to throw an exception,'throws' is used to declare an exception while 'throw' is used to throw an exception,There is no difference between 'throw' and 'throws','throw' and 'throws' are used interchangeably,'throw' is used to declare an exception while 'throws' is used to throw an exception
JE-1,JAVA,EXPERT,7,What is the purpose of the 'this' keyword in Java?,To refer to the superclass of the current class,To refer to the subclass of the current class,To refer to the current instance of the class,To refer to the parent class of the current class,To refer to the current instance of the class
JE-1,JAVA,EXPERT,8,What is the difference between 'abstract class' and 'interface' in Java?,An abstract class can have constructors while an interface cannot,An abstract class can have static methods while an interface cannot,An abstract class can have final methods while an interface cannot,There is no difference between abstract class and interface,An abstract class can have constructors while an interface cannot
JE-1,JAVA,EXPERT,9,What is the purpose of the 'static' keyword in Java?,To make a variable thread-safe,To indicate that a variable's value will be accessed by multiple threads,To indicate that a variable belongs to the class rather than to any instance of the class,To make a variable immutable,To indicate that a variable belongs to the class rather than to any instance of the class
JE-1,JAVA,EXPERT,10,What is the difference between '==', 'equals()', and 'hashCode()' methods in Java?,'==' compares object references, 'equals()' compares the content of objects, and 'hashCode()' returns the hash code value of an object,'==' compares primitive data types, 'equals()' compares object references, and 'hashCode()' returns the hash code value of an object,'==' compares object references, 'equals()' compares the content of objects, and 'hashCode()' returns the memory address of an object,'==' compares object references, 'equals()' compares the memory address of an object, and 'hashCode()' returns the hash code value of an object,'==' compares object references, 'equals()' compares the content of objects, and 'hashCode()' returns the hash code value of an object
