questionCode,domainName,difficultyLevel,questionNumber,questionText,option1,option2,option3,option4,correctOption
JB-1,JAVA,BEGINNER,1,What is object-oriented programming (OOP) in Java?,A programming paradigm based on the concept of objects,A programming paradigm based on the concept of functions,A programming paradigm based on the concept of variables,A programming paradigm based on the concept of modules,A programming paradigm based on the concept of objects
JB-1,JAVA,BEGINNER,2,What is a class in Java?,A blueprint for objects,A method in Java,A type of variable,An object in memory,A blueprint for objects
JB-1,JAVA,BEGINNER,3,What is inheritance in Java?,The mechanism by which one class acquires the properties and behavior of another class,A way to define multiple classes in a single file,A way to override methods in a subclass,A way to create an object of a class,The mechanism by which one class acquires the properties and behavior of another class
JB-1,JAVA,BEGINNER,4,What is polymorphism in Java?,The ability of a method to do different things based on the object that it is acting upon,The ability to define multiple methods with the same name but different parameters,The ability to hide the implementation details of a class,The ability to access members of a class without creating an object,The ability of a method to do different things based on the object that it is acting upon
JB-1,JAVA,BEGINNER,5,What is encapsulation in Java?,The bundling of data with the methods that operate on that data,The process of converting objects into bytes,The process of making a class available to other classes in the same package,The process of making a class available to other classes in different packages,The bundling of data with the methods that operate on that data
JB-1,JAVA,BEGINNER,6,What is the difference between == and equals() method in Java?,== compares object references while equals() method compares the content of objects,== compares primitive data types while equals() method compares object references,== compares the content of objects while equals() method compares object references,== compares object references while equals() method compares primitive data types,== compares object references while equals() method compares the content of objects
JB-1,JAVA,BEGINNER,7,What is a constructor in Java?,A special type of method that is used to initialize objects,A method that is called automatically when an object is created,A method that is used to destroy objects,A method that is used to create new objects,A special type of method that is used to initialize objects
JB-1,JAVA,BEGINNER,8,What is a static method in Java?,A method that belongs to the class rather than to any instance of the class,A method that is called automatically when an object is created,A method that is used to destroy objects,A method that is used to create new objects,A method that belongs to the class rather than to any instance of the class
JB-1,JAVA,BEGINNER,9,What is the purpose of the 'final' keyword in Java?,To declare constants, make variables unchangeable, and prevent method overriding and class inheritance,To make variables changeable,To allow method overriding and class inheritance,To make methods and classes unchangeable,To declare constants, make variables unchangeable, and prevent method overriding and class inheritance
JB-1,JAVA,BEGINNER,10,What is exception handling in Java?,The process of handling runtime errors gracefully to prevent program termination,The process of generating errors during program execution,The process of handling compilation errors,The process of handling logical errors,The process of handling runtime errors gracefully to prevent program termination
